Total energy (eV)	F	E0
BaGe2/DFT-D3/Birch-Murnaghan/a_0/OUTCAR	-104.17745477	-104.17745477
BaGe2/DFT-D3/Birch-Murnaghan/a_-1/OUTCAR	-104.17123639	-104.17123639
BaGe2/DFT-D3/Birch-Murnaghan/a_1/OUTCAR	-104.17213309	-104.17213309
BaGe2/DFT-D3/Birch-Murnaghan/a_-2/OUTCAR	-104.15366482	-104.15366482
BaGe2/DFT-D3/Birch-Murnaghan/a_2/OUTCAR	-104.16100662	-104.16100662
BaGe2/DFT-D3/Birch-Murnaghan/a_-3/OUTCAR	-104.12359079	-104.12359079
BaGe2/DFT-D3/Birch-Murnaghan/a_3/OUTCAR	-104.13532543	-104.13532543
BaGe2/DFT-D3/Birch-Murnaghan/a_-4/OUTCAR	-104.08090814	-104.08090814
BaGe2/DFT-D3/Birch-Murnaghan/a_4/OUTCAR	-104.09994140	-104.09994140
BaGe2/DFT-D3/Birch-Murnaghan/a_-5/OUTCAR	-104.02486618	-104.02486618
BaGe2/DFT-D3/Birch-Murnaghan/a_5/OUTCAR	-104.05554174	-104.05554174
