Total energy (eV)	F	E0
BaGe2/LDA/Birch-Murnaghan/a_0/OUTCAR	-114.03926841	-114.03926841
BaGe2/LDA/Birch-Murnaghan/a_-1/OUTCAR	-114.03275928	-114.03275928
BaGe2/LDA/Birch-Murnaghan/a_1/OUTCAR	-114.03309100	-114.03309100
BaGe2/LDA/Birch-Murnaghan/a_-2/OUTCAR	-114.01189985	-114.01189985
BaGe2/LDA/Birch-Murnaghan/a_2/OUTCAR	-114.01450389	-114.01450389
BaGe2/LDA/Birch-Murnaghan/a_-3/OUTCAR	-113.97615186	-113.97615186
BaGe2/LDA/Birch-Murnaghan/a_3/OUTCAR	-113.98341573	-113.98341573
BaGe2/LDA/Birch-Murnaghan/a_-4/OUTCAR	-113.92526816	-113.92526816
BaGe2/LDA/Birch-Murnaghan/a_4/OUTCAR	-113.94058026	-113.94058026
BaGe2/LDA/Birch-Murnaghan/a_-5/OUTCAR	-113.85852903	-113.85852903
BaGe2/LDA/Birch-Murnaghan/a_5/OUTCAR	-113.88727647	-113.88727647
