Total energy (eV)	F	E0
BaGe2/PBE/Birch-Murnaghan/a_0/OUTCAR	-100.09495559	-100.09495559
BaGe2/PBE/Birch-Murnaghan/a_-1/OUTCAR	-100.08771475	-100.08771475
BaGe2/PBE/Birch-Murnaghan/a_1/OUTCAR	-100.09076107	-100.09076107
BaGe2/PBE/Birch-Murnaghan/a_-2/OUTCAR	-100.07017094	-100.07017094
BaGe2/PBE/Birch-Murnaghan/a_2/OUTCAR	-100.07624525	-100.07624525
BaGe2/PBE/Birch-Murnaghan/a_-3/OUTCAR	-100.04147884	-100.04147884
BaGe2/PBE/Birch-Murnaghan/a_3/OUTCAR	-100.05259684	-100.05259684
BaGe2/PBE/Birch-Murnaghan/a_-4/OUTCAR	-100.00067226	-100.00067226
BaGe2/PBE/Birch-Murnaghan/a_4/OUTCAR	-100.01988230	-100.01988230
BaGe2/PBE/Birch-Murnaghan/a_-5/OUTCAR	-99.94748356	-99.94748356
BaGe2/PBE/Birch-Murnaghan/a_5/OUTCAR	-99.97824552	-99.97824552
