Total energy (eV)	F	E0
BaSi2/DFT-D3/Birch-Murnaghan/a_0/OUTCAR	-114.56774032	-114.56774032
BaSi2/DFT-D3/Birch-Murnaghan/a_-1/OUTCAR	-114.56201250	-114.56201250
BaSi2/DFT-D3/Birch-Murnaghan/a_1/OUTCAR	-114.56065692	-114.56065692
BaSi2/DFT-D3/Birch-Murnaghan/a_-2/OUTCAR	-114.54451477	-114.54451477
BaSi2/DFT-D3/Birch-Murnaghan/a_2/OUTCAR	-114.54149082	-114.54149082
BaSi2/DFT-D3/Birch-Murnaghan/a_-3/OUTCAR	-114.51183530	-114.51183530
BaSi2/DFT-D3/Birch-Murnaghan/a_3/OUTCAR	-114.51110664	-114.51110664
BaSi2/DFT-D3/Birch-Murnaghan/a_-4/OUTCAR	-114.46440915	-114.46440915
BaSi2/DFT-D3/Birch-Murnaghan/a_4/OUTCAR	-114.46987398	-114.46987398
BaSi2/DFT-D3/Birch-Murnaghan/a_-5/OUTCAR	-114.40186739	-114.40186739
BaSi2/DFT-D3/Birch-Murnaghan/a_5/OUTCAR	-114.41800760	-114.41800760
