Total energy (eV)	F	E0
BaSi2/LDA/Birch-Murnaghan/a_0/OUTCAR	-122.51397371	-122.51397371
BaSi2/LDA/Birch-Murnaghan/a_-1/OUTCAR	-122.50546310	-122.50546310
BaSi2/LDA/Birch-Murnaghan/a_1/OUTCAR	-122.50793748	-122.50793748
BaSi2/LDA/Birch-Murnaghan/a_-2/OUTCAR	-122.48169858	-122.48169858
BaSi2/LDA/Birch-Murnaghan/a_2/OUTCAR	-122.48789560	-122.48789560
BaSi2/LDA/Birch-Murnaghan/a_-3/OUTCAR	-122.44264455	-122.44264455
BaSi2/LDA/Birch-Murnaghan/a_-4/OUTCAR	-122.38720586	-122.38720586
BaSi2/LDA/Birch-Murnaghan/a_4/OUTCAR	-122.41083766	-122.41083766
BaSi2/LDA/Birch-Murnaghan/a_-5/OUTCAR	-122.31418129	-122.31418129
BaSi2/LDA/Birch-Murnaghan/a_5/OUTCAR	-122.35394221	-122.35394221
