Total energy (eV)	F	E0
BaSi2/PBE/Birch-Murnaghan/a_0/OUTCAR	-110.81594780	-110.81594780
BaSi2/PBE/Birch-Murnaghan/a_-1/OUTCAR	-110.81002564	-110.81002564
BaSi2/PBE/Birch-Murnaghan/a_1/OUTCAR	-110.80991198	-110.80991198
BaSi2/PBE/Birch-Murnaghan/a_-2/OUTCAR	-110.79151032	-110.79151032
BaSi2/PBE/Birch-Murnaghan/a_2/OUTCAR	-110.79268973	-110.79268973
BaSi2/PBE/Birch-Murnaghan/a_-3/OUTCAR	-110.75995787	-110.75995787
BaSi2/PBE/Birch-Murnaghan/a_3/OUTCAR	-110.76438193	-110.76438193
BaSi2/PBE/Birch-Murnaghan/a_-4/OUTCAR	-110.71506775	-110.71506775
BaSi2/PBE/Birch-Murnaghan/a_4/OUTCAR	-110.72234482	-110.72234482
BaSi2/PBE/Birch-Murnaghan/a_-5/OUTCAR	-110.65539146	-110.65539146
BaSi2/PBE/Birch-Murnaghan/a_5/OUTCAR	-110.67392776	-110.67392776
