Total energy (eV)	F	E0
BaSiC/DFT-D3/Birch-Murnaghan/a_0/OUTCAR	-131.35280253	-131.35280253
BaSiC/DFT-D3/Birch-Murnaghan/a_-1/OUTCAR	-131.33421937	-131.33421937
BaSiC/DFT-D3/Birch-Murnaghan/a_1/OUTCAR	-131.35704565	-131.35704565
BaSiC/DFT-D3/Birch-Murnaghan/a_-2/OUTCAR	-131.30089134	-131.30089134
BaSiC/DFT-D3/Birch-Murnaghan/a_2/OUTCAR	-131.34766121	-131.34766121
BaSiC/DFT-D3/Birch-Murnaghan/a_-3/OUTCAR	-131.25158985	-131.25158985
BaSiC/DFT-D3/Birch-Murnaghan/a_3/OUTCAR	-131.32482150	-131.32482150
BaSiC/DFT-D3/Birch-Murnaghan/a_-4/OUTCAR	-131.18557735	-131.18557735
BaSiC/DFT-D3/Birch-Murnaghan/a_4/OUTCAR	-131.28929949	-131.28929949
BaSiC/DFT-D3/Birch-Murnaghan/a_-5/OUTCAR	-131.10276517	-131.10276517
BaSiC/DFT-D3/Birch-Murnaghan/a_5/OUTCAR	-131.23907673	-131.23907673
