Total energy (eV)	F	E0
BaSiC/LDA/Birch-Murnaghan/a_0/OUTCAR	-142.35700663	-142.35700663
BaSiC/LDA/Birch-Murnaghan/a_-1/OUTCAR	-142.34106549	-142.34106549
BaSiC/LDA/Birch-Murnaghan/a_1/OUTCAR	-142.35757069	-142.35757069
BaSiC/LDA/Birch-Murnaghan/a_-2/OUTCAR	-142.30930425	-142.30930425
BaSiC/LDA/Birch-Murnaghan/a_2/OUTCAR	-142.34318907	-142.34318907
BaSiC/LDA/Birch-Murnaghan/a_-3/OUTCAR	-142.26103684	-142.26103684
BaSiC/LDA/Birch-Murnaghan/a_3/OUTCAR	-142.31426292	-142.31426292
BaSiC/LDA/Birch-Murnaghan/a_-4/OUTCAR	-142.19478014	-142.19478014
BaSiC/LDA/Birch-Murnaghan/a_4/OUTCAR	-142.27225434	-142.27225434
BaSiC/LDA/Birch-Murnaghan/a_-5/OUTCAR	-142.11011939	-142.11011939
BaSiC/LDA/Birch-Murnaghan/a_5/OUTCAR	-142.21785549	-142.21785549
