Total energy (eV)	F	E0
BaSiC/PBE/Birch-Murnaghan/a_0/OUTCAR	-128.36825414	-128.36825414
BaSiC/PBE/Birch-Murnaghan/a_-1/OUTCAR	-128.36353830	-128.36353830
BaSiC/PBE/Birch-Murnaghan/a_1/OUTCAR	-128.35965028	-128.35965028
BaSiC/PBE/Birch-Murnaghan/a_-2/OUTCAR	-128.33751630	-128.33751630
BaSiC/PBE/Birch-Murnaghan/a_2/OUTCAR	-128.33851514	-128.33851514
BaSiC/PBE/Birch-Murnaghan/a_-3/OUTCAR	-128.30342750	-128.30342750
BaSiC/PBE/Birch-Murnaghan/a_3/OUTCAR	-128.30499357	-128.30499357
BaSiC/PBE/Birch-Murnaghan/a_-4/OUTCAR	-128.25416657	-128.25416657
BaSiC/PBE/Birch-Murnaghan/a_4/OUTCAR	-128.25908350	-128.25908350
BaSiC/PBE/Birch-Murnaghan/a_-5/OUTCAR	-128.18866143	-128.18866143
BaSiC/PBE/Birch-Murnaghan/a_5/OUTCAR	-128.20158657	-128.20158657
