Total energy (eV)	F	E0
SrSi2/DFT-D3/Birch-Murnaghan/a_0/OUTCAR	-112.40073544	-112.40073544
SrSi2/DFT-D3/Birch-Murnaghan/a_-1/OUTCAR	-112.39721673	-112.39721673
SrSi2/DFT-D3/Birch-Murnaghan/a_1/OUTCAR	-112.39137517	-112.39137517
SrSi2/DFT-D3/Birch-Murnaghan/a_-2/OUTCAR	-112.38010048	-112.38010048
SrSi2/DFT-D3/Birch-Murnaghan/a_-3/OUTCAR	-112.34893608	-112.34893608
SrSi2/DFT-D3/Birch-Murnaghan/a_3/OUTCAR	-112.33595074	-112.33595074
SrSi2/DFT-D3/Birch-Murnaghan/a_-4/OUTCAR	-112.30290898	-112.30290898
SrSi2/DFT-D3/Birch-Murnaghan/a_4/OUTCAR	-112.29155928	-112.29155928
SrSi2/DFT-D3/Birch-Murnaghan/a_-5/OUTCAR	-112.24097701	-112.24097701
SrSi2/DFT-D3/Birch-Murnaghan/a_5/OUTCAR	-112.23650415	-112.23650415
