Total energy (eV)	F	E0
SrSi2/LDA/Birch-Murnaghan/a_0/OUTCAR	-119.42167643	-119.42167643
SrSi2/LDA/Birch-Murnaghan/a_-1/OUTCAR	-119.41816982	-119.41816982
SrSi2/LDA/Birch-Murnaghan/a_1/OUTCAR	-119.41077229	-119.41077229
SrSi2/LDA/Birch-Murnaghan/a_-2/OUTCAR	-119.39921020	-119.39921020
SrSi2/LDA/Birch-Murnaghan/a_2/OUTCAR	-119.38647663	-119.38647663
SrSi2/LDA/Birch-Murnaghan/a_-3/OUTCAR	-119.36426756	-119.36426756
SrSi2/LDA/Birch-Murnaghan/a_3/OUTCAR	-119.34917690	-119.34917690
SrSi2/LDA/Birch-Murnaghan/a_-4/OUTCAR	-119.31227392	-119.31227392
SrSi2/LDA/Birch-Murnaghan/a_4/OUTCAR	-119.29913697	-119.29913697
SrSi2/LDA/Birch-Murnaghan/a_-5/OUTCAR	-119.24270335	-119.24270335
SrSi2/LDA/Birch-Murnaghan/a_5/OUTCAR	-119.23741799	-119.23741799
