Total energy (eV)	F	E0
SrSi2/PBE/Birch-Murnaghan/a_0/OUTCAR	-108.14525453	-108.14525453
SrSi2/PBE/Birch-Murnaghan/a_-1/OUTCAR	-108.14305423	-108.14305423
SrSi2/PBE/Birch-Murnaghan/a_1/OUTCAR	-108.13511303	-108.13511303
SrSi2/PBE/Birch-Murnaghan/a_-2/OUTCAR	-108.12782387	-108.12782387
SrSi2/PBE/Birch-Murnaghan/a_2/OUTCAR	-108.11375355	-108.11375355
SrSi2/PBE/Birch-Murnaghan/a_-3/OUTCAR	-108.09897155	-108.09897155
SrSi2/PBE/Birch-Murnaghan/a_3/OUTCAR	-108.08108561	-108.08108561
SrSi2/PBE/Birch-Murnaghan/a_-4/OUTCAR	-108.05606830	-108.05606830
SrSi2/PBE/Birch-Murnaghan/a_4/OUTCAR	-108.03761012	-108.03761012
SrSi2/PBE/Birch-Murnaghan/a_-5/OUTCAR	-107.99819120	-107.99819120
SrSi2/PBE/Birch-Murnaghan/a_5/OUTCAR	-107.98302402	-107.98302402
