Total energy (eV)	F	E0
Bulk_analysis/SrSi2/Convergence/ENCUT/ENCUT=300/OUTCAR	-106.42973140	-106.42973140
Bulk_analysis/SrSi2/Convergence/ENCUT/ENCUT=350/OUTCAR	-106.43094581	-106.43094581
Bulk_analysis/SrSi2/Convergence/ENCUT/ENCUT=400/OUTCAR	-106.43861982	-106.43861982
Bulk_analysis/SrSi2/Convergence/ENCUT/ENCUT=450/OUTCAR	-106.45073441	-106.45073441
Bulk_analysis/SrSi2/Convergence/ENCUT/ENCUT=500/OUTCAR	-106.45727113	-106.45727113
Bulk_analysis/SrSi2/Convergence/ENCUT/ENCUT=550/OUTCAR	-106.45180295	-106.45180295
Bulk_analysis/SrSi2/Convergence/ENCUT/ENCUT=600/OUTCAR	-106.44995106	-106.44995106
Bulk_analysis/SrSi2/Convergence/ENCUT/ENCUT=650/OUTCAR	-106.45376476	-106.45376476
Bulk_analysis/SrSi2/Convergence/ENCUT/ENCUT=700/OUTCAR	-106.45601729	-106.45601729
Bulk_analysis/SrSi2/Convergence/ENCUT/ENCUT=750/OUTCAR	-106.45904263	-106.45904263
Bulk_analysis/SrSi2/Convergence/ENCUT/ENCUT=800/OUTCAR	-106.45487209	-106.45487209
