Total energy (eV)	F	E0
L1/Etot/OUTCAR	-41.27652312	-41.27652312
L2/Etot/OUTCAR	-91.30151848	-91.30151848
L3/Etot/OUTCAR	-139.91418017	-139.91418017
L4/Etot/OUTCAR	-188.60747163	-188.60747163
L5/Etot/OUTCAR	-237.31526588	-237.31526588
L6/Etot/OUTCAR	-286.03057649	-286.03057649
L7/Etot/OUTCAR	-334.75162929	-334.75162929
L8/Etot/OUTCAR	-383.46337497	-383.46337497
L9/Etot/OUTCAR	-432.19798428	-432.19798428
L11/Etot/OUTCAR	-529.64464780	-529.64464780
L12/Etot/OUTCAR	-578.35886426	-578.35886426
L13/Etot/OUTCAR	-627.09769588	-627.09769588
L15/Etot/OUTCAR	-724.54822403	-724.54822403
L17/Etot/OUTCAR	-822.00094896	-822.00094896
L19/Etot/OUTCAR	-919.45700866	-919.45700866

