Total energy (eV)	F	E0
DFT-D3/BaSi2/a_10/Etot/OUTCAR	-96.89275029	-96.89275029
DFT-D3/BaSi2/a_9/Etot/OUTCAR	-100.98420915	-100.98420915
DFT-D3/BaSi2/a_8/Etot/OUTCAR	-104.55943018	-104.55943018
DFT-D3/BaSi2/a_7/Etot/OUTCAR	-107.47539665	-107.47539665
DFT-D3/BaSi2/a_6/Etot/OUTCAR	-109.77125901	-109.77125901
DFT-D3/BaSi2/a_5/Etot/OUTCAR	-111.52093012	-111.52093012
DFT-D3/BaSi2/a_4/Etot/OUTCAR	-112.79992775	-112.79992775
DFT-D3/BaSi2/a_3/Etot/OUTCAR	-113.67986717	-113.67986717
DFT-D3/BaSi2/a_2/Etot/OUTCAR	-114.22402680	-114.22402680
DFT-D3/BaSi2/a_1/Etot/OUTCAR	-114.48634565	-114.48634565
DFT-D3/BaSi2/a_0/Etot/OUTCAR	-114.51574454	-114.51574454
DFT-D3/BaSi2/a_1/Etot/OUTCAR	-114.35496222	-114.35496222
DFT-D3/BaSi2/a_2/Etot/OUTCAR	-114.03704022	-114.03704022
DFT-D3/BaSi2/a_3/Etot/OUTCAR	-113.59849662	-113.59849662
DFT-D3/BaSi2/a_4/Etot/OUTCAR	-113.05636895	-113.05636895
DFT-D3/BaSi2/a_5/Etot/OUTCAR	-112.42812880	-112.42812880
DFT-D3/BaSi2/a_6/Etot/OUTCAR	-111.73870832	-111.73870832
DFT-D3/BaSi2/a_7/Etot/OUTCAR	-111.00069334	-111.00069334
DFT-D3/BaSi2/a_8/Etot/OUTCAR	-110.22453912	-110.22453912
DFT-D3/BaSi2/a_9/Etot/OUTCAR	-109.42000614	-109.42000614
DFT-D3/BaSi2/a_10/Etot/OUTCAR	-108.59569600	-108.59569600
