Total energy (eV)	F	E0
2D_Layers/L_L_distance/LDA/BaSi2/a_0/Etot/OUTCAR	-196.98367048	-196.98367048
2D_Layers/L_L_distance/LDA/BaSi2/a_10/Etot/OUTCAR	-273.96665849	-273.96665849
2D_Layers/L_L_distance/LDA/BaSi2/a_1/Etot/OUTCAR	-201.85953555	-201.85953555
2D_Layers/L_L_distance/LDA/BaSi2/a_2/Etot/OUTCAR	-207.13852519	-207.13852519
2D_Layers/L_L_distance/LDA/BaSi2/a_3/Etot/OUTCAR	-212.87500087	-212.87500087
2D_Layers/L_L_distance/LDA/BaSi2/a_4/Etot/OUTCAR	-219.13355188	-219.13355188
2D_Layers/L_L_distance/LDA/BaSi2/a_5/Etot/OUTCAR	-225.98939801	-225.98939801
2D_Layers/L_L_distance/LDA/BaSi2/a_6/Etot/OUTCAR	-233.54012456	-233.54012456
2D_Layers/L_L_distance/LDA/BaSi2/a_7/Etot/OUTCAR	-241.90719174	-241.90719174
2D_Layers/L_L_distance/LDA/BaSi2/a_8/Etot/OUTCAR	-251.25327952	-251.25327952
2D_Layers/L_L_distance/LDA/BaSi2/a_9/Etot/OUTCAR	-261.80150259	-261.80150259
Total energy (eV)	F	E0
Total energy (eV)	F	E0
2D_Layers/L_L_distance/LDA/BaSi2/a_0/Etot/OUTCAR	-196.98367048	-196.98367048
2D_Layers/L_L_distance/LDA/BaSi2/a_10/Etot/OUTCAR	-163.26929391	-163.26929391
2D_Layers/L_L_distance/LDA/BaSi2/a_1/Etot/OUTCAR	-192.47346304	-192.47346304
2D_Layers/L_L_distance/LDA/BaSi2/a_2/Etot/OUTCAR	-188.28461487	-188.28461487
2D_Layers/L_L_distance/LDA/BaSi2/a_3/Etot/OUTCAR	-184.39020290	-184.39020290
2D_Layers/L_L_distance/LDA/BaSi2/a_4/Etot/OUTCAR	-180.75724800	-180.75724800
2D_Layers/L_L_distance/LDA/BaSi2/a_5/Etot/OUTCAR	-177.35640528	-177.35640528
2D_Layers/L_L_distance/LDA/BaSi2/a_6/Etot/OUTCAR	-174.17485837	-174.17485837
2D_Layers/L_L_distance/LDA/BaSi2/a_7/Etot/OUTCAR	-171.19127740	-171.19127740
2D_Layers/L_L_distance/LDA/BaSi2/a_8/Etot/OUTCAR	-168.38374496	-168.38374496
2D_Layers/L_L_distance/LDA/BaSi2/a_9/Etot/OUTCAR	-165.74349735	-165.74349735
