Total energy (eV)	F	E0
PBE/BaSi2/a_10/Etot/OUTCAR	-92.57092166	-92.57092166
PBE/BaSi2/a_9/Etot/OUTCAR	-96.75738421	-96.75738421
PBE/BaSi2/a_8/Etot/OUTCAR	-100.38090397	-100.38090397
PBE/BaSi2/a_7/Etot/OUTCAR	-103.33635458	-103.33635458
PBE/BaSi2/a_6/Etot/OUTCAR	-105.67942016	-105.67942016
PBE/BaSi2/a_5/Etot/OUTCAR	-107.48385825	-107.48385825
PBE/BaSi2/a_4/Etot/OUTCAR	-108.82451485	-108.82451485
PBE/BaSi2/a_3/Etot/OUTCAR	-109.76962912	-109.76962912
PBE/BaSi2/a_2/Etot/OUTCAR	-110.38295626	-110.38295626
PBE/BaSi2/a_1/Etot/OUTCAR	-110.71575770	-110.71575770
PBE/BaSi2/a_0/Etot/OUTCAR	-110.81430875	-110.81430875
PBE/BaSi2/a_1/Etot/OUTCAR	-110.72257354	-110.72257354
PBE/BaSi2/a_2/Etot/OUTCAR	-110.47548588	-110.47548588
PBE/BaSi2/a_3/Etot/OUTCAR	-110.10061674	-110.10061674
PBE/BaSi2/a_4/Etot/OUTCAR	-109.61897865	-109.61897865
PBE/BaSi2/a_5/Etot/OUTCAR	-109.04791190	-109.04791190
PBE/BaSi2/a_6/Etot/OUTCAR	-108.41334431	-108.41334431
PBE/BaSi2/a_7/Etot/OUTCAR	-107.72630471	-107.72630471
PBE/BaSi2/a_8/Etot/OUTCAR	-106.99741264	-106.99741264
PBE/BaSi2/a_9/Etot/OUTCAR	-106.23783449	-106.23783449
PBE/BaSi2/a_10/Etot/OUTCAR	-105.45308356	-105.45308356
