Total energy (eV)	F	E0
2D_Layers/L_L_distance/DFT-D3/BaSi2/a_10/Etot/OUTCAR	-106.83216607	-106.83216607
2D_Layers/L_L_distance/DFT-D3/BaSi2/a_9/Etot/OUTCAR	-107.04973681	-107.04973681
2D_Layers/L_L_distance/DFT-D3/BaSi2/a_8/Etot/OUTCAR	-107.23204702	-107.23204702
2D_Layers/L_L_distance/DFT-D3/BaSi2/a_7/Etot/OUTCAR	-107.38079683	-107.38079683
2D_Layers/L_L_distance/DFT-D3/BaSi2/a_6/Etot/OUTCAR	-107.49807657	-107.49807657
2D_Layers/L_L_distance/DFT-D3/BaSi2/a_5/Etot/OUTCAR	-107.58577782	-107.58577782
2D_Layers/L_L_distance/DFT-D3/BaSi2/a_4/Etot/OUTCAR	-107.64586684	-107.64586684
2D_Layers/L_L_distance/DFT-D3/BaSi2/a_3/Etot/OUTCAR	-107.68013404	-107.68013404
2D_Layers/L_L_distance/DFT-D3/BaSi2/a_2/Etot/OUTCAR	-107.68963056	-107.68963056
2D_Layers/L_L_distance/DFT-D3/BaSi2/a_1/Etot/OUTCAR	-107.67638256	-107.67638256
2D_Layers/L_L_distance/DFT-D3/BaSi2/a_0/Etot/OUTCAR	-107.64145687	-107.64145687
2D_Layers/L_L_distance/DFT-D3/BaSi2/a_1/Etot/OUTCAR	-107.58617142	-107.58617142
2D_Layers/L_L_distance/DFT-D3/BaSi2/a_2/Etot/OUTCAR	-107.51233008	-107.51233008
2D_Layers/L_L_distance/DFT-D3/BaSi2/a_3/Etot/OUTCAR	-107.42102257	-107.42102257
2D_Layers/L_L_distance/DFT-D3/BaSi2/a_4/Etot/OUTCAR	-107.31334784	-107.31334784
2D_Layers/L_L_distance/DFT-D3/BaSi2/a_5/Etot/OUTCAR	-107.19043544	-107.19043544
2D_Layers/L_L_distance/DFT-D3/BaSi2/a_6/Etot/OUTCAR	-107.05322022	-107.05322022
2D_Layers/L_L_distance/DFT-D3/BaSi2/a_7/Etot/OUTCAR	-106.90269030	-106.90269030
2D_Layers/L_L_distance/DFT-D3/BaSi2/a_8/Etot/OUTCAR	-106.73985045	-106.73985045
2D_Layers/L_L_distance/DFT-D3/BaSi2/a_9/Etot/OUTCAR	-106.56691782	-106.56691782
2D_Layers/L_L_distance/DFT-D3/BaSi2/a_10/Etot/OUTCAR	-106.38223238	-106.38223238
