Total energy (eV)	F	E0
2D_Layers/L_L_distance/LDA/BaSi2/a_10/Etot/OUTCAR	-198.04780599	-198.04780599
2D_Layers/L_L_distance/LDA/BaSi2/a_9/Etot/OUTCAR	-196.12629244	-196.12629244
2D_Layers/L_L_distance/LDA/BaSi2/a_8/Etot/OUTCAR	-194.26781669	-194.26781669
2D_Layers/L_L_distance/LDA/BaSi2/a_7/Etot/OUTCAR	-192.46803242	-192.46803242
2D_Layers/L_L_distance/LDA/BaSi2/a_6/Etot/OUTCAR	-190.72421966	-190.72421966
2D_Layers/L_L_distance/LDA/BaSi2/a_5/Etot/OUTCAR	-189.03371668	-189.03371668
2D_Layers/L_L_distance/LDA/BaSi2/a_4/Etot/OUTCAR	-187.39651196	-187.39651196
2D_Layers/L_L_distance/LDA/BaSi2/a_3/Etot/OUTCAR	-185.80484408	-185.80484408
2D_Layers/L_L_distance/LDA/BaSi2/a_2/Etot/OUTCAR	-184.25910565	-184.25910565
2D_Layers/L_L_distance/LDA/BaSi2/a_1/Etot/OUTCAR	-182.75818289	-182.75818289
2D_Layers/L_L_distance/LDA/BaSi2/a_0/Etot/OUTCAR	-181.29932067	-181.29932067
2D_Layers/L_L_distance/LDA/BaSi2/a_1/Etot/OUTCAR	-179.88098315	-179.88098315
2D_Layers/L_L_distance/LDA/BaSi2/a_2/Etot/OUTCAR	-178.50147703	-178.50147703
2D_Layers/L_L_distance/LDA/BaSi2/a_3/Etot/OUTCAR	-177.15920759	-177.15920759
2D_Layers/L_L_distance/LDA/BaSi2/a_4/Etot/OUTCAR	-175.85281626	-175.85281626
2D_Layers/L_L_distance/LDA/BaSi2/a_5/Etot/OUTCAR	-174.58079346	-174.58079346
2D_Layers/L_L_distance/LDA/BaSi2/a_6/Etot/OUTCAR	-173.34174791	-173.34174791
2D_Layers/L_L_distance/LDA/BaSi2/a_7/Etot/OUTCAR	-172.13448950	-172.13448950
2D_Layers/L_L_distance/LDA/BaSi2/a_8/Etot/OUTCAR	-170.95785584	-170.95785584
2D_Layers/L_L_distance/LDA/BaSi2/a_9/Etot/OUTCAR	-169.81228999	-169.81228999
2D_Layers/L_L_distance/LDA/BaSi2/a_10/Etot/OUTCAR	-168.69471438	-168.69471438
