Total energy (eV)	F	E0
2D_Layers/L_L_distance/PBE/BaSi2/a_0/Etot/OUTCAR	-107.64103740	-107.64103740
2D_Layers/L_L_distance/PBE/BaSi2/a_10/Etot/OUTCAR	-106.83491345	-106.83491345
2D_Layers/L_L_distance/PBE/BaSi2/a_1/Etot/OUTCAR	-107.67616839	-107.67616839
2D_Layers/L_L_distance/PBE/BaSi2/a_2/Etot/OUTCAR	-107.68964207	-107.68964207
2D_Layers/L_L_distance/PBE/BaSi2/a_3/Etot/OUTCAR	-107.68047695	-107.68047695
2D_Layers/L_L_distance/PBE/BaSi2/a_4/Etot/OUTCAR	-107.64651061	-107.64651061
2D_Layers/L_L_distance/PBE/BaSi2/a_5/Etot/OUTCAR	-107.58676294	-107.58676294
2D_Layers/L_L_distance/PBE/BaSi2/a_6/Etot/OUTCAR	-107.49932546	-107.49932546
2D_Layers/L_L_distance/PBE/BaSi2/a_7/Etot/OUTCAR	-107.38246663	-107.38246663
2D_Layers/L_L_distance/PBE/BaSi2/a_8/Etot/OUTCAR	-107.23410972	-107.23410972
2D_Layers/L_L_distance/PBE/BaSi2/a_9/Etot/OUTCAR	-107.05222915	-107.05222915
Total energy (eV)	F	E0
2D_Layers/L_L_distance/PBE/BaSi2/a_0/Etot/OUTCAR	-107.64103740	-107.64103740
2D_Layers/L_L_distance/PBE/BaSi2/a_10/Etot/OUTCAR	-106.38045786	-106.38045786
2D_Layers/L_L_distance/PBE/BaSi2/a_1/Etot/OUTCAR	-107.58553386	-107.58553386
2D_Layers/L_L_distance/PBE/BaSi2/a_2/Etot/OUTCAR	-107.51147925	-107.51147925
2D_Layers/L_L_distance/PBE/BaSi2/a_3/Etot/OUTCAR	-107.42013770	-107.42013770
2D_Layers/L_L_distance/PBE/BaSi2/a_4/Etot/OUTCAR	-107.31236523	-107.31236523
2D_Layers/L_L_distance/PBE/BaSi2/a_5/Etot/OUTCAR	-107.18936598	-107.18936598
2D_Layers/L_L_distance/PBE/BaSi2/a_6/Etot/OUTCAR	-107.05202465	-107.05202465
2D_Layers/L_L_distance/PBE/BaSi2/a_7/Etot/OUTCAR	-106.90143242	-106.90143242
2D_Layers/L_L_distance/PBE/BaSi2/a_8/Etot/OUTCAR	-106.73844216	-106.73844216
2D_Layers/L_L_distance/PBE/BaSi2/a_9/Etot/OUTCAR	-106.56515693	-106.56515693
