Total energy (eV)	F	E0
rev-vdW-DF2/BaSi2/a_0/Etot/OUTCAR	-107.63578006	-107.63578006
rev-vdW-DF2/BaSi2/a_10/Etot/OUTCAR	-107.18208373	-107.18208373
rev-vdW-DF2/BaSi2/a_1/Etot/OUTCAR	-107.63940314	-107.63940314
rev-vdW-DF2/BaSi2/a_2/Etot/OUTCAR	-107.63500407	-107.63500407
rev-vdW-DF2/BaSi2/a_3/Etot/OUTCAR	-107.62033409	-107.62033409
rev-vdW-DF2/BaSi2/a_4/Etot/OUTCAR	-107.59489846	-107.59489846
rev-vdW-DF2/BaSi2/a_5/Etot/OUTCAR	-107.55858698	-107.55858698
rev-vdW-DF2/BaSi2/a_6/Etot/OUTCAR	-107.51131277	-107.51131277
rev-vdW-DF2/BaSi2/a_7/Etot/OUTCAR	-107.45141073	-107.45141073
rev-vdW-DF2/BaSi2/a_8/Etot/OUTCAR	-107.37751852	-107.37751852
rev-vdW-DF2/BaSi2/a_9/Etot/OUTCAR	-107.28828054	-107.28828054
