Total energy (eV)	F	E0
PBE/BaSi2/a_0/Etot/OUTCAR	-110.80719857	-110.80719857
PBE/BaSi2/a_10/Etot/OUTCAR	-109.03156599	-109.03156599
PBE/BaSi2/a_1/Etot/OUTCAR	-110.79572753	-110.79572753
PBE/BaSi2/a_2/Etot/OUTCAR	-110.75872080	-110.75872080
PBE/BaSi2/a_3/Etot/OUTCAR	-110.69345057	-110.69345057
PBE/BaSi2/a_4/Etot/OUTCAR	-110.59495483	-110.59495483
PBE/BaSi2/a_5/Etot/OUTCAR	-110.45993618	-110.45993618
PBE/BaSi2/a_6/Etot/OUTCAR	-110.28211335	-110.28211335
PBE/BaSi2/a_7/Etot/OUTCAR	-110.05608737	-110.05608737
PBE/BaSi2/a_8/Etot/OUTCAR	-109.77742681	-109.77742681
PBE/BaSi2/a_9/Etot/OUTCAR	-109.43846424	-109.43846424
Total energy (eV)	F	E0
PBE/BaSi2/a_0/Etot/OUTCAR	-110.80719857	-110.80719857
PBE/BaSi2/a_10/Etot/OUTCAR	-110.09947690	-110.09947690
PBE/BaSi2/a_1/Etot/OUTCAR	-110.79663476	-110.79663476
PBE/BaSi2/a_2/Etot/OUTCAR	-110.76697959	-110.76697959
PBE/BaSi2/a_3/Etot/OUTCAR	-110.72076895	-110.72076895
PBE/BaSi2/a_4/Etot/OUTCAR	-110.66034300	-110.66034300
PBE/BaSi2/a_5/Etot/OUTCAR	-110.58759634	-110.58759634
PBE/BaSi2/a_6/Etot/OUTCAR	-110.50446336	-110.50446336
PBE/BaSi2/a_7/Etot/OUTCAR	-110.41305196	-110.41305196
PBE/BaSi2/a_8/Etot/OUTCAR	-110.31399032	-110.31399032
PBE/BaSi2/a_9/Etot/OUTCAR	-110.20867401	-110.20867401
