Total energy (eV)	F	E0
rev-vdW-DF2/BaSi2/a_1/Etot/OUTCAR	-87.37825672	-87.37825672
rev-vdW-DF2/BaSi2/a_2/Etot/OUTCAR	-88.86663607	-88.86663607
rev-vdW-DF2/BaSi2/a_3/Etot/OUTCAR	-90.18645939	-90.18645939
rev-vdW-DF2/BaSi2/a_4/Etot/OUTCAR	-91.35010803	-91.35010803
rev-vdW-DF2/BaSi2/a_5/Etot/OUTCAR	-92.36995765	-92.36995765
rev-vdW-DF2/BaSi2/a_6/Etot/OUTCAR	-93.26017888	-93.26017888
rev-vdW-DF2/BaSi2/a_7/Etot/OUTCAR	-94.03209325	-94.03209325
rev-vdW-DF2/BaSi2/a_8/Etot/OUTCAR	-94.69695248	-94.69695248
rev-vdW-DF2/BaSi2/a_9/Etot/OUTCAR	-95.26506293	-95.26506293
rev-vdW-DF2/BaSi2/a_10/Etot/OUTCAR	-95.74605833	-95.74605833
rev-vdW-DF2/BaSi2/a_1/Etot/OUTCAR	-96.14931928	-96.14931928
rev-vdW-DF2/BaSi2/a_2/Etot/OUTCAR	-96.48215635	-96.48215635
rev-vdW-DF2/BaSi2/a_3/Etot/OUTCAR	-96.75214335	-96.75214335
rev-vdW-DF2/BaSi2/a_4/Etot/OUTCAR	-96.96739250	-96.96739250
rev-vdW-DF2/BaSi2/a_5/Etot/OUTCAR	-97.13262715	-97.13262715
rev-vdW-DF2/BaSi2/a_6/Etot/OUTCAR	-97.25302889	-97.25302889
rev-vdW-DF2/BaSi2/a_7/Etot/OUTCAR	-97.33523577	-97.33523577
rev-vdW-DF2/BaSi2/a_8/Etot/OUTCAR	-97.38268127	-97.38268127
rev-vdW-DF2/BaSi2/a_9/Etot/OUTCAR	-97.40037132	-97.40037132
rev-vdW-DF2/BaSi2/a_10/Etot/OUTCAR	-97.39157286	-97.39157286
rev-vdW-DF2/BaSi2/a_0/Etot/OUTCAR	-97.39157286	-97.39157286
rev-vdW-DF2/BaSi2/a_1/Etot/OUTCAR	-97.35938343	-97.35938343
rev-vdW-DF2/BaSi2/a_2/Etot/OUTCAR	-97.30716683	-97.30716683
rev-vdW-DF2/BaSi2/a_3/Etot/OUTCAR	-97.23755903	-97.23755903
rev-vdW-DF2/BaSi2/a_4/Etot/OUTCAR	-97.15290715	-97.15290715
rev-vdW-DF2/BaSi2/a_5/Etot/OUTCAR	-97.05531532	-97.05531532
rev-vdW-DF2/BaSi2/a_6/Etot/OUTCAR	-96.94674440	-96.94674440
rev-vdW-DF2/BaSi2/a_7/Etot/OUTCAR	-96.82941071	-96.82941071
rev-vdW-DF2/BaSi2/a_8/Etot/OUTCAR	-96.70410799	-96.70410799
rev-vdW-DF2/BaSi2/a_9/Etot/OUTCAR	-96.57217827	-96.57217827
rev-vdW-DF2/BaSi2/a_10/Etot/OUTCAR	-96.43597478	-96.43597478
rev-vdW-DF2/BaSi2/a_1/Etot/OUTCAR	-96.29573671	-96.29573671
rev-vdW-DF2/BaSi2/a_2/Etot/OUTCAR	-96.15162656	-96.15162656
rev-vdW-DF2/BaSi2/a_3/Etot/OUTCAR	-96.00512190	-96.00512190
rev-vdW-DF2/BaSi2/a_4/Etot/OUTCAR	-95.85771726	-95.85771726
rev-vdW-DF2/BaSi2/a_5/Etot/OUTCAR	-95.70933771	-95.70933771
rev-vdW-DF2/BaSi2/a_6/Etot/OUTCAR	-95.56134388	-95.56134388
rev-vdW-DF2/BaSi2/a_7/Etot/OUTCAR	-95.41308967	-95.41308967
rev-vdW-DF2/BaSi2/a_8/Etot/OUTCAR	-95.26485831	-95.26485831
rev-vdW-DF2/BaSi2/a_9/Etot/OUTCAR	-95.11812030	-95.11812030
rev-vdW-DF2/BaSi2/a_10/Etot/OUTCAR	-94.97268118	-94.97268118
