Total energy (eV)	F	E0
rev-vdW-DF2/BaSi2/a_0/Etot/OUTCAR	-97.38708376	-97.38708376
rev-vdW-DF2/BaSi2/a_10/Etot/OUTCAR	-95.82810260	-95.82810260
rev-vdW-DF2/BaSi2/a_1/Etot/OUTCAR	-97.40067798	-97.40067798
rev-vdW-DF2/BaSi2/a_2/Etot/OUTCAR	-97.38815534	-97.38815534
rev-vdW-DF2/BaSi2/a_3/Etot/OUTCAR	-97.34671902	-97.34671902
rev-vdW-DF2/BaSi2/a_4/Etot/OUTCAR	-97.27134847	-97.27134847
rev-vdW-DF2/BaSi2/a_5/Etot/OUTCAR	-97.15867658	-97.15867658
rev-vdW-DF2/BaSi2/a_6/Etot/OUTCAR	-97.00236273	-97.00236273
rev-vdW-DF2/BaSi2/a_7/Etot/OUTCAR	-96.79694125	-96.79694125
rev-vdW-DF2/BaSi2/a_8/Etot/OUTCAR	-96.53790381	-96.53790381
rev-vdW-DF2/BaSi2/a_9/Etot/OUTCAR	-96.21752144	-96.21752144
Total energy (eV)	F	E0
rev-vdW-DF2/BaSi2/a_0/Etot/OUTCAR	-97.38708376	-97.38708376
rev-vdW-DF2/BaSi2/a_10/Etot/OUTCAR	-96.40970560	-96.40970560
rev-vdW-DF2/BaSi2/a_1/Etot/OUTCAR	-97.35093266	-97.35093266
rev-vdW-DF2/BaSi2/a_2/Etot/OUTCAR	-97.29523214	-97.29523214
rev-vdW-DF2/BaSi2/a_3/Etot/OUTCAR	-97.22257718	-97.22257718
rev-vdW-DF2/BaSi2/a_4/Etot/OUTCAR	-97.13536795	-97.13536795
rev-vdW-DF2/BaSi2/a_5/Etot/OUTCAR	-97.03555464	-97.03555464
rev-vdW-DF2/BaSi2/a_6/Etot/OUTCAR	-96.92512757	-96.92512757
rev-vdW-DF2/BaSi2/a_7/Etot/OUTCAR	-96.80624375	-96.80624375
rev-vdW-DF2/BaSi2/a_8/Etot/OUTCAR	-96.67958772	-96.67958772
rev-vdW-DF2/BaSi2/a_9/Etot/OUTCAR	-96.54660287	-96.54660287
