Total energy (eV)	F	E0
2D_Layers/L_L_distance/DFT-D3/Graphite/a_0/Etot/OUTCAR	-37.21757422	-37.21757422
2D_Layers/L_L_distance/DFT-D3/Graphite/a_10/Etot/OUTCAR	-36.16729491	-36.16729491
2D_Layers/L_L_distance/DFT-D3/Graphite/a_1/Etot/OUTCAR	-37.21432695	-37.21432695
2D_Layers/L_L_distance/DFT-D3/Graphite/a_2/Etot/OUTCAR	-37.20695109	-37.20695109
2D_Layers/L_L_distance/DFT-D3/Graphite/a_3/Etot/OUTCAR	-37.18635947	-37.18635947
2D_Layers/L_L_distance/DFT-D3/Graphite/a_4/Etot/OUTCAR	-37.15099679	-37.15099679
2D_Layers/L_L_distance/DFT-D3/Graphite/a_5/Etot/OUTCAR	-37.09613432	-37.09613432
2D_Layers/L_L_distance/DFT-D3/Graphite/a_6/Etot/OUTCAR	-37.01396740	-37.01396740
2D_Layers/L_L_distance/DFT-D3/Graphite/a_7/Etot/OUTCAR	-36.89542074	-36.89542074
2D_Layers/L_L_distance/DFT-D3/Graphite/a_8/Etot/OUTCAR	-36.72317257	-36.72317257
2D_Layers/L_L_distance/DFT-D3/Graphite/a_9/Etot/OUTCAR	-36.49053703	-36.49053703
