Total energy (eV)	F	E0
PBE/Graphite/a_10/Etot/OUTCAR	-36.50817613	-36.50817613
PBE/Graphite/a_9/Etot/OUTCAR	-36.55905276	-36.55905276
PBE/Graphite/a_8/Etot/OUTCAR	-36.60281709	-36.60281709
PBE/Graphite/a_7/Etot/OUTCAR	-36.64027722	-36.64027722
PBE/Graphite/a_6/Etot/OUTCAR	-36.67212886	-36.67212886
PBE/Graphite/a_5/Etot/OUTCAR	-36.70004674	-36.70004674
PBE/Graphite/a_4/Etot/OUTCAR	-36.72354759	-36.72354759
PBE/Graphite/a_3/Etot/OUTCAR	-36.74361245	-36.74361245
PBE/Graphite/a_2/Etot/OUTCAR	-36.76044217	-36.76044217
PBE/Graphite/a_1/Etot/OUTCAR	-36.77529848	-36.77529848
PBE/Graphite/a_10/Etot/OUTCAR	-36.78805008	-36.78805008
PBE/Graphite/a_9/Etot/OUTCAR	-36.79869070	-36.79869070
PBE/Graphite/a_8/Etot/OUTCAR	-36.80764457	-36.80764457
PBE/Graphite/a_7/Etot/OUTCAR	-36.81528024	-36.81528024
PBE/Graphite/a_6/Etot/OUTCAR	-36.82050361	-36.82050361
PBE/Graphite/a_5/Etot/OUTCAR	-36.82622240	-36.82622240
PBE/Graphite/a_4/Etot/OUTCAR	-36.83114191	-36.83114191
PBE/Graphite/a_3/Etot/OUTCAR	-36.83494539	-36.83494539
PBE/Graphite/a_2/Etot/OUTCAR	-36.83798160	-36.83798160
PBE/Graphite/a_1/Etot/OUTCAR	-36.83986331	-36.83986331
PBE/Graphite/a_0/Etot/OUTCAR	-36.84203382	-36.84203382
PBE/Graphite/a_1/Etot/OUTCAR	-36.84409901	-36.84409901
PBE/Graphite/a_2/Etot/OUTCAR	-36.84546098	-36.84546098
PBE/Graphite/a_3/Etot/OUTCAR	-36.84672229	-36.84672229
PBE/Graphite/a_4/Etot/OUTCAR	-36.84741110	-36.84741110
PBE/Graphite/a_5/Etot/OUTCAR	-36.84851371	-36.84851371
PBE/Graphite/a_6/Etot/OUTCAR	-36.84951159	-36.84951159
PBE/Graphite/a_7/Etot/OUTCAR	-36.85049598	-36.85049598
PBE/Graphite/a_8/Etot/OUTCAR	-36.85096051	-36.85096051
PBE/Graphite/a_9/Etot/OUTCAR	-36.85120015	-36.85120015
PBE/Graphite/a_10/Etot/OUTCAR	-36.85058093	-36.85058093
PBE/Graphite/a_1/Etot/OUTCAR	-36.85116420	-36.85116420
PBE/Graphite/a_2/Etot/OUTCAR	-36.85173083	-36.85173083
PBE/Graphite/a_3/Etot/OUTCAR	-36.85184968	-36.85184968
PBE/Graphite/a_4/Etot/OUTCAR	-36.85200470	-36.85200470
PBE/Graphite/a_5/Etot/OUTCAR	-36.85106354	-36.85106354
PBE/Graphite/a_6/Etot/OUTCAR	-36.85132070	-36.85132070
PBE/Graphite/a_7/Etot/OUTCAR	-36.85132730	-36.85132730
PBE/Graphite/a_8/Etot/OUTCAR	-36.85123290	-36.85123290
PBE/Graphite/a_9/Etot/OUTCAR	-36.85120152	-36.85120152
PBE/Graphite/a_10/Etot/OUTCAR	-36.85079807	-36.85079807
