Total energy (eV)	F	E0
2D_Layers/L_L_distance/PBE/Graphite/a_0/Etot/OUTCAR	-36.88016936	-36.88016936
2D_Layers/L_L_distance/PBE/Graphite/a_10/Etot/OUTCAR	-36.41245327	-36.41245327
2D_Layers/L_L_distance/PBE/Graphite/a_1/Etot/OUTCAR	-36.87529409	-36.87529409
2D_Layers/L_L_distance/PBE/Graphite/a_2/Etot/OUTCAR	-36.86476410	-36.86476410
2D_Layers/L_L_distance/PBE/Graphite/a_3/Etot/OUTCAR	-36.85126936	-36.85126936
2D_Layers/L_L_distance/PBE/Graphite/a_4/Etot/OUTCAR	-36.83218244	-36.83218244
2D_Layers/L_L_distance/PBE/Graphite/a_5/Etot/OUTCAR	-36.80735749	-36.80735749
2D_Layers/L_L_distance/PBE/Graphite/a_6/Etot/OUTCAR	-36.76970235	-36.76970235
2D_Layers/L_L_distance/PBE/Graphite/a_7/Etot/OUTCAR	-36.71687228	-36.71687228
2D_Layers/L_L_distance/PBE/Graphite/a_8/Etot/OUTCAR	-36.64843671	-36.64843671
2D_Layers/L_L_distance/PBE/Graphite/a_9/Etot/OUTCAR	-36.54674079	-36.54674079
