Total energy (eV)	F	E0
rev-vdW-DF2/Graphite/a_10/Etot/OUTCAR	-36.24801274	-36.24795398
rev-vdW-DF2/Graphite/a_1/Etot/OUTCAR	-36.34778370	-36.34773011
rev-vdW-DF2/Graphite/a_2/Etot/OUTCAR	-36.33840985	-36.33835370
rev-vdW-DF2/Graphite/a_3/Etot/OUTCAR	-36.32618980	-36.32613242
rev-vdW-DF2/Graphite/a_4/Etot/OUTCAR	-36.31051784	-36.31045977
rev-vdW-DF2/Graphite/a_5/Etot/OUTCAR	-36.29655716	-36.29649871
rev-vdW-DF2/Graphite/a_6/Etot/OUTCAR	-36.28128651	-36.28122791
rev-vdW-DF2/Graphite/a_7/Etot/OUTCAR	-36.26631835	-36.26625966
rev-vdW-DF2/Graphite/a_8/Etot/OUTCAR	-36.26147414	-36.26141541
rev-vdW-DF2/Graphite/a_9/Etot/OUTCAR	-36.25322278	-36.25316403
