Total energy (eV)	F	E0
rev-vdW-DF2/Graphite/a_10/Etot/OUTCAR	-36.14390727	-36.14390727
rev-vdW-DF2/Graphite/a_9/Etot/OUTCAR	-36.18724223	-36.18724223
rev-vdW-DF2/Graphite/a_8/Etot/OUTCAR	-36.22341370	-36.22341370
rev-vdW-DF2/Graphite/a_7/Etot/OUTCAR	-36.25324972	-36.25324972
rev-vdW-DF2/Graphite/a_6/Etot/OUTCAR	-36.27748159	-36.27748159
rev-vdW-DF2/Graphite/a_5/Etot/OUTCAR	-36.29781941	-36.29781941
rev-vdW-DF2/Graphite/a_4/Etot/OUTCAR	-36.31378108	-36.31378108
rev-vdW-DF2/Graphite/a_3/Etot/OUTCAR	-36.32638462	-36.32638462
rev-vdW-DF2/Graphite/a_2/Etot/OUTCAR	-36.33583703	-36.33583703
rev-vdW-DF2/Graphite/a_1/Etot/OUTCAR	-36.34341295	-36.34341295
rev-vdW-DF2/Graphite/a_10/Etot/OUTCAR	-36.34900577	-36.34900577
rev-vdW-DF2/Graphite/a_9/Etot/OUTCAR	-36.35260128	-36.35260128
rev-vdW-DF2/Graphite/a_8/Etot/OUTCAR	-36.35463660	-36.35463660
rev-vdW-DF2/Graphite/a_7/Etot/OUTCAR	-36.35549515	-36.35549515
rev-vdW-DF2/Graphite/a_6/Etot/OUTCAR	-36.35407551	-36.35407551
rev-vdW-DF2/Graphite/a_5/Etot/OUTCAR	-36.35330802	-36.35330802
rev-vdW-DF2/Graphite/a_4/Etot/OUTCAR	-36.35189688	-36.35189688
rev-vdW-DF2/Graphite/a_3/Etot/OUTCAR	-36.34953428	-36.34953428
rev-vdW-DF2/Graphite/a_2/Etot/OUTCAR	-36.34657045	-36.34657045
rev-vdW-DF2/Graphite/a_1/Etot/OUTCAR	-36.34262241	-36.34262241
rev-vdW-DF2/Graphite/a_0/Etot/OUTCAR	-36.33914734	-36.33914734
rev-vdW-DF2/Graphite/a_1/Etot/OUTCAR	-36.33575235	-36.33575235
rev-vdW-DF2/Graphite/a_2/Etot/OUTCAR	-36.33183817	-36.33183817
rev-vdW-DF2/Graphite/a_3/Etot/OUTCAR	-36.32801149	-36.32801149
rev-vdW-DF2/Graphite/a_4/Etot/OUTCAR	-36.32380248	-36.32380248
rev-vdW-DF2/Graphite/a_5/Etot/OUTCAR	-36.32019789	-36.32019789
rev-vdW-DF2/Graphite/a_6/Etot/OUTCAR	-36.31667616	-36.31667616
rev-vdW-DF2/Graphite/a_7/Etot/OUTCAR	-36.31332970	-36.31332970
rev-vdW-DF2/Graphite/a_8/Etot/OUTCAR	-36.30963531	-36.30963531
rev-vdW-DF2/Graphite/a_9/Etot/OUTCAR	-36.30590030	-36.30590030
rev-vdW-DF2/Graphite/a_10/Etot/OUTCAR	-36.30147426	-36.30147426
rev-vdW-DF2/Graphite/a_1/Etot/OUTCAR	-36.29841797	-36.29841797
rev-vdW-DF2/Graphite/a_2/Etot/OUTCAR	-36.29551361	-36.29551361
rev-vdW-DF2/Graphite/a_3/Etot/OUTCAR	-36.29231382	-36.29231382
rev-vdW-DF2/Graphite/a_4/Etot/OUTCAR	-36.28930077	-36.28930077
rev-vdW-DF2/Graphite/a_5/Etot/OUTCAR	-36.28533219	-36.28533219
rev-vdW-DF2/Graphite/a_6/Etot/OUTCAR	-36.28270823	-36.28270823
rev-vdW-DF2/Graphite/a_7/Etot/OUTCAR	-36.27996697	-36.27996697
rev-vdW-DF2/Graphite/a_8/Etot/OUTCAR	-36.27725366	-36.27725366
rev-vdW-DF2/Graphite/a_9/Etot/OUTCAR	-36.27472942	-36.27472942
rev-vdW-DF2/Graphite/a_10/Etot/OUTCAR	-36.27195137	-36.27195137
