Total energy (eV)	F	E0
rev-vdW-DF2/Graphite/a_0/Etot/OUTCAR	-36.33914734	-36.33914734
rev-vdW-DF2/Graphite/a_10/Etot/OUTCAR	-36.34900577	-36.34900577
rev-vdW-DF2/Graphite/a_1/Etot/OUTCAR	-36.34262241	-36.34262241
rev-vdW-DF2/Graphite/a_2/Etot/OUTCAR	-36.34657045	-36.34657045
rev-vdW-DF2/Graphite/a_3/Etot/OUTCAR	-36.34953428	-36.34953428
rev-vdW-DF2/Graphite/a_4/Etot/OUTCAR	-36.35189688	-36.35189688
rev-vdW-DF2/Graphite/a_5/Etot/OUTCAR	-36.35330802	-36.35330802
rev-vdW-DF2/Graphite/a_6/Etot/OUTCAR	-36.35407551	-36.35407551
rev-vdW-DF2/Graphite/a_7/Etot/OUTCAR	-36.35549515	-36.35549515
rev-vdW-DF2/Graphite/a_8/Etot/OUTCAR	-36.35463660	-36.35463660
rev-vdW-DF2/Graphite/a_9/Etot/OUTCAR	-36.35260128	-36.35260128
Total energy (eV)	F	E0
rev-vdW-DF2/Graphite/a_0/Etot/OUTCAR	-36.33914734	-36.33914734
rev-vdW-DF2/Graphite/a_10/Etot/OUTCAR	-36.30147426	-36.30147426
rev-vdW-DF2/Graphite/a_1/Etot/OUTCAR	-36.33575235	-36.33575235
rev-vdW-DF2/Graphite/a_2/Etot/OUTCAR	-36.33183817	-36.33183817
rev-vdW-DF2/Graphite/a_3/Etot/OUTCAR	-36.32801149	-36.32801149
rev-vdW-DF2/Graphite/a_4/Etot/OUTCAR	-36.32380248	-36.32380248
rev-vdW-DF2/Graphite/a_5/Etot/OUTCAR	-36.32019789	-36.32019789
rev-vdW-DF2/Graphite/a_6/Etot/OUTCAR	-36.31667616	-36.31667616
rev-vdW-DF2/Graphite/a_7/Etot/OUTCAR	-36.31332970	-36.31332970
rev-vdW-DF2/Graphite/a_8/Etot/OUTCAR	-36.30963531	-36.30963531
rev-vdW-DF2/Graphite/a_9/Etot/OUTCAR	-36.30590030	-36.30590030
